timestamp,utilization.gpu,utilization.memory,memory.used,memory.total,temperature.gpu,power.draw,clocks.current.sm,clocks.current.memory
2026/05/20 14:06:07.556, 0, 0, 443, 46068, 30, 79.51, 2520, 9000
2026/05/20 14:06:08.587, 5, 0, 627, 46068, 31, 81.00, 2520, 9000
2026/05/20 14:06:09.620, 4, 0, 627, 46068, 31, 85.02, 2520, 9000
2026/05/20 14:06:10.640, 4, 0, 627, 46068, 31, 84.51, 2520, 9000
2026/05/20 14:06:11.664, 4, 0, 627, 46068, 31, 85.32, 2520, 9000
2026/05/20 14:06:12.688, 4, 0, 627, 46068, 31, 84.11, 2520, 9000
2026/05/20 14:06:13.715, 4, 0, 627, 46068, 32, 85.34, 2520, 9000
2026/05/20 14:06:14.751, 4, 0, 627, 46068, 32, 85.00, 2520, 9000
2026/05/20 14:06:15.791, 4, 0, 627, 46068, 32, 84.79, 2520, 9000
2026/05/20 14:06:16.829, 4, 0, 627, 46068, 32, 83.72, 2520, 9000
2026/05/20 14:06:17.940, 1, 0, 627, 46068, 32, 84.00, 2520, 9000
2026/05/20 14:06:18.969, 4, 0, 627, 46068, 32, 83.79, 2520, 9000
2026/05/20 14:06:20.011, 4, 0, 627, 46068, 32, 83.89, 2520, 9000
2026/05/20 14:06:21.045, 4, 0, 627, 46068, 32, 84.89, 2520, 9000
2026/05/20 14:06:22.080, 4, 0, 627, 46068, 32, 84.29, 2520, 9000
2026/05/20 14:06:23.112, 4, 0, 627, 46068, 32, 84.95, 2520, 9000
2026/05/20 14:06:24.148, 4, 0, 627, 46068, 33, 85.15, 2520, 9000
2026/05/20 14:06:25.186, 5, 0, 627, 46068, 33, 85.10, 2520, 9000
2026/05/20 14:06:26.550, 0, 0, 627, 46068, 32, 80.73, 2520, 9000
2026/05/20 14:06:27.580, 38, 0, 627, 46068, 34, 105.86, 2520, 9000
2026/05/20 14:06:28.602, 29, 0, 637, 46068, 34, 108.78, 2520, 9000
2026/05/20 14:06:29.622, 23, 0, 639, 46068, 34, 99.14, 2520, 9000
2026/05/20 14:06:30.645, 26, 0, 639, 46068, 34, 100.33, 2520, 9000
2026/05/20 14:06:31.675, 21, 0, 639, 46068, 34, 97.13, 2520, 9000
2026/05/20 14:06:32.707, 38, 0, 639, 46068, 35, 103.59, 2520, 9000
2026/05/20 14:06:33.736, 33, 0, 639, 46068, 35, 106.24, 2520, 9000
2026/05/20 14:06:34.754, 32, 0, 639, 46068, 35, 105.37, 2520, 9000
2026/05/20 14:06:35.773, 35, 0, 641, 46068, 34, 101.88, 2520, 9000
2026/05/20 14:06:36.805, 2, 0, 689, 46068, 34, 85.71, 2520, 9000
2026/05/20 14:06:37.838, 2, 0, 689, 46068, 34, 84.17, 2520, 9000
2026/05/20 14:06:38.884, 3, 0, 689, 46068, 34, 84.26, 2520, 9000
2026/05/20 14:06:39.909, 3, 0, 689, 46068, 34, 84.07, 2520, 9000
2026/05/20 14:06:40.935, 2, 0, 689, 46068, 34, 83.75, 2520, 9000
2026/05/20 14:06:41.958, 3, 0, 689, 46068, 34, 84.91, 2520, 9000
2026/05/20 14:06:42.980, 3, 0, 689, 46068, 34, 84.98, 2520, 9000
2026/05/20 14:06:44.010, 3, 0, 689, 46068, 34, 83.49, 2520, 9000
2026/05/20 14:06:45.037, 2, 0, 689, 46068, 34, 84.38, 2520, 9000
2026/05/20 14:06:46.070, 2, 0, 689, 46068, 34, 84.32, 2520, 9000
2026/05/20 14:06:47.101, 3, 0, 689, 46068, 35, 84.48, 2520, 9000
2026/05/20 14:06:48.142, 3, 0, 689, 46068, 35, 84.53, 2520, 9000
2026/05/20 14:06:49.184, 3, 0, 689, 46068, 35, 84.90, 2520, 9000
2026/05/20 14:06:50.219, 2, 0, 689, 46068, 35, 85.11, 2520, 9000
2026/05/20 14:06:51.241, 3, 0, 689, 46068, 35, 84.27, 2520, 9000
2026/05/20 14:06:52.289, 2, 0, 689, 46068, 35, 85.37, 2520, 9000
2026/05/20 14:06:53.322, 2, 0, 689, 46068, 35, 84.56, 2520, 9000
2026/05/20 14:06:54.364, 2, 0, 689, 46068, 35, 84.58, 2520, 9000
2026/05/20 14:06:55.399, 2, 0, 689, 46068, 35, 84.85, 2520, 9000
2026/05/20 14:06:56.420, 3, 0, 689, 46068, 35, 85.30, 2520, 9000
2026/05/20 14:06:57.451, 2, 0, 689, 46068, 35, 83.56, 2520, 9000
2026/05/20 14:06:58.564, 2, 0, 689, 46068, 35, 84.56, 2520, 9000
2026/05/20 14:06:59.599, 2, 0, 689, 46068, 35, 82.94, 2520, 9000
2026/05/20 14:07:00.633, 2, 0, 689, 46068, 35, 84.30, 2520, 9000
2026/05/20 14:07:01.670, 2, 0, 689, 46068, 35, 84.36, 2520, 9000
2026/05/20 14:07:02.709, 3, 0, 689, 46068, 36, 86.59, 2520, 9000
2026/05/20 14:07:03.741, 5, 0, 689, 46068, 36, 85.68, 2520, 9000
2026/05/20 14:07:04.766, 4, 0, 689, 46068, 36, 84.63, 2520, 9000
2026/05/20 14:07:05.808, 4, 0, 689, 46068, 36, 85.04, 2520, 9000
2026/05/20 14:07:06.845, 3, 0, 689, 46068, 36, 84.76, 2520, 9000
2026/05/20 14:07:07.874, 4, 0, 689, 46068, 36, 86.81, 2520, 9000
2026/05/20 14:07:08.911, 4, 0, 689, 46068, 36, 86.58, 2520, 9000
2026/05/20 14:07:09.943, 4, 0, 689, 46068, 36, 87.42, 2520, 9000
2026/05/20 14:07:10.980, 4, 0, 689, 46068, 36, 86.64, 2520, 9000
2026/05/20 14:07:12.042, 0, 0, 689, 46068, 36, 83.76, 2520, 9000
2026/05/20 14:07:14.388, 0, 0, 689, 46068, 36, 80.26, 2520, 9000
2026/05/20 14:07:15.617, 0, 0, 689, 46068, 36, 80.68, 2520, 9000
2026/05/20 14:07:16.701, 0, 0, 689, 46068, 37, 80.31, 2520, 9000
2026/05/20 14:07:17.731, 27, 0, 689, 46068, 37, 110.95, 2520, 9000
2026/05/20 14:07:18.763, 24, 0, 689, 46068, 38, 105.34, 2520, 9000
2026/05/20 14:07:19.783, 32, 0, 689, 46068, 38, 124.90, 2520, 9000
2026/05/20 14:07:20.811, 19, 0, 709, 46068, 38, 102.08, 2520, 9000
2026/05/20 14:07:21.841, 19, 0, 709, 46068, 38, 101.19, 2520, 9000
2026/05/20 14:07:22.870, 22, 0, 709, 46068, 38, 104.24, 2520, 9000
2026/05/20 14:07:23.901, 19, 0, 709, 46068, 38, 99.63, 2520, 9000
2026/05/20 14:07:24.932, 21, 0, 709, 46068, 38, 98.96, 2520, 9000
2026/05/20 14:07:25.961, 23, 0, 709, 46068, 38, 99.49, 2520, 9000
2026/05/20 14:07:26.981, 21, 0, 709, 46068, 38, 99.35, 2520, 9000
2026/05/20 14:07:27.999, 19, 0, 709, 46068, 38, 97.08, 2520, 9000
2026/05/20 14:07:29.017, 20, 0, 709, 46068, 38, 97.28, 2520, 9000
2026/05/20 14:07:30.050, 24, 0, 709, 46068, 38, 100.44, 2520, 9000
2026/05/20 14:07:31.080, 20, 0, 729, 46068, 40, 101.87, 2520, 9000
2026/05/20 14:07:32.114, 19, 0, 729, 46068, 40, 116.55, 2520, 9000
2026/05/20 14:07:33.149, 23, 0, 729, 46068, 40, 119.20, 2520, 9000
2026/05/20 14:07:34.176, 19, 0, 729, 46068, 39, 101.86, 2520, 9000
2026/05/20 14:07:35.205, 23, 0, 729, 46068, 39, 100.23, 2520, 9000
2026/05/20 14:07:36.226, 3, 0, 729, 46068, 38, 89.23, 2520, 9000
2026/05/20 14:07:37.250, 2, 0, 729, 46068, 38, 84.54, 2520, 9000
2026/05/20 14:07:38.289, 3, 0, 729, 46068, 38, 86.10, 2520, 9000
2026/05/20 14:07:39.319, 3, 0, 729, 46068, 38, 86.47, 2520, 9000
2026/05/20 14:07:40.352, 3, 0, 729, 46068, 38, 87.36, 2520, 9000
2026/05/20 14:07:41.484, 3, 0, 729, 46068, 38, 85.80, 2520, 9000
2026/05/20 14:07:42.531, 2, 0, 729, 46068, 38, 85.58, 2520, 9000
2026/05/20 14:07:43.567, 3, 0, 729, 46068, 39, 85.88, 2520, 9000
2026/05/20 14:07:44.608, 2, 0, 729, 46068, 39, 86.15, 2520, 9000
2026/05/20 14:07:45.626, 2, 0, 729, 46068, 39, 85.76, 2520, 9000
2026/05/20 14:07:46.674, 2, 0, 729, 46068, 39, 86.24, 2520, 9000
2026/05/20 14:07:47.701, 2, 0, 729, 46068, 39, 85.36, 2520, 9000
2026/05/20 14:07:48.727, 3, 0, 729, 46068, 39, 85.29, 2520, 9000
2026/05/20 14:07:49.747, 3, 0, 729, 46068, 39, 85.35, 2520, 9000
2026/05/20 14:07:50.769, 2, 0, 729, 46068, 39, 86.23, 2520, 9000
2026/05/20 14:07:51.817, 2, 0, 729, 46068, 39, 84.65, 2520, 9000
2026/05/20 14:07:52.846, 2, 0, 729, 46068, 39, 85.48, 2520, 9000
2026/05/20 14:07:53.872, 2, 0, 729, 46068, 39, 86.83, 2520, 9000
2026/05/20 14:07:54.918, 2, 0, 729, 46068, 39, 85.90, 2520, 9000
2026/05/20 14:07:55.939, 2, 0, 729, 46068, 39, 85.51, 2520, 9000
2026/05/20 14:07:56.964, 2, 0, 729, 46068, 39, 85.32, 2520, 9000
2026/05/20 14:07:58.001, 2, 0, 729, 46068, 39, 85.70, 2520, 9000
2026/05/20 14:07:59.040, 2, 0, 729, 46068, 39, 84.12, 2520, 9000
2026/05/20 14:08:00.067, 2, 0, 729, 46068, 39, 86.22, 2520, 9000
2026/05/20 14:08:01.099, 2, 0, 729, 46068, 39, 86.96, 2520, 9000
2026/05/20 14:08:02.125, 2, 0, 729, 46068, 39, 85.73, 2520, 9000
2026/05/20 14:08:03.150, 2, 0, 729, 46068, 39, 85.94, 2520, 9000
2026/05/20 14:08:04.191, 3, 0, 729, 46068, 39, 86.52, 2520, 9000
2026/05/20 14:08:05.243, 3, 0, 729, 46068, 39, 86.90, 2520, 9000
2026/05/20 14:08:06.296, 4, 0, 729, 46068, 40, 87.47, 2520, 9000
2026/05/20 14:08:07.334, 4, 0, 729, 46068, 40, 87.29, 2520, 9000
2026/05/20 14:08:08.367, 4, 0, 729, 46068, 40, 87.19, 2520, 9000
2026/05/20 14:08:09.400, 3, 0, 729, 46068, 40, 86.91, 2520, 9000
2026/05/20 14:08:10.418, 2, 0, 729, 46068, 40, 85.55, 2520, 9000
2026/05/20 14:08:11.458, 3, 0, 729, 46068, 40, 87.08, 2520, 9000
2026/05/20 14:08:12.495, 3, 0, 729, 46068, 40, 87.62, 2520, 9000
2026/05/20 14:08:13.972, 0, 0, 729, 46068, 40, 84.36, 2520, 9000
2026/05/20 14:08:15.341, 0, 0, 729, 46068, 40, 83.05, 2520, 9000
2026/05/20 14:08:16.600, 0, 0, 729, 46068, 40, 81.75, 2520, 9000
2026/05/20 14:08:17.678, 0, 0, 729, 46068, 40, 81.75, 2520, 9000
2026/05/20 14:08:18.725, 0, 0, 729, 46068, 41, 84.98, 2520, 9000
2026/05/20 14:08:19.755, 22, 0, 729, 46068, 41, 106.02, 2520, 9000
2026/05/20 14:08:20.780, 19, 0, 729, 46068, 41, 104.08, 2520, 9000
2026/05/20 14:08:21.808, 34, 0, 729, 46068, 43, 120.76, 2520, 9000
2026/05/20 14:08:22.830, 15, 0, 729, 46068, 41, 110.67, 2520, 9000
2026/05/20 14:08:23.859, 18, 0, 729, 46068, 41, 97.00, 2520, 9000
2026/05/20 14:08:24.889, 17, 0, 729, 46068, 41, 97.13, 2520, 9000
2026/05/20 14:08:25.920, 17, 0, 729, 46068, 41, 97.39, 2520, 9000
2026/05/20 14:08:26.948, 20, 0, 731, 46068, 42, 101.54, 2520, 9000
2026/05/20 14:08:27.982, 16, 0, 731, 46068, 42, 104.21, 2520, 9000
2026/05/20 14:08:29.015, 15, 0, 731, 46068, 41, 99.19, 2520, 9000
2026/05/20 14:08:30.044, 15, 0, 731, 46068, 41, 96.17, 2520, 9000
2026/05/20 14:08:31.075, 17, 0, 731, 46068, 42, 96.61, 2520, 9000
2026/05/20 14:08:32.105, 18, 0, 731, 46068, 42, 98.29, 2520, 9000
2026/05/20 14:08:33.134, 14, 0, 731, 46068, 42, 97.53, 2520, 9000
2026/05/20 14:08:34.164, 15, 0, 731, 46068, 42, 98.89, 2520, 9000
2026/05/20 14:08:35.194, 19, 0, 731, 46068, 42, 100.39, 2520, 9000
2026/05/20 14:08:36.224, 20, 0, 731, 46068, 43, 103.75, 2520, 9000
2026/05/20 14:08:37.263, 16, 0, 731, 46068, 43, 112.11, 2520, 9000
2026/05/20 14:08:38.301, 16, 0, 731, 46068, 43, 110.52, 2520, 9000
2026/05/20 14:08:39.322, 12, 0, 731, 46068, 42, 109.43, 2520, 9000
2026/05/20 14:08:40.342, 12, 0, 731, 46068, 42, 95.97, 2520, 9000
2026/05/20 14:08:41.362, 15, 0, 731, 46068, 42, 97.39, 2520, 9000
2026/05/20 14:08:42.393, 10, 0, 731, 46068, 42, 92.84, 2520, 9000
2026/05/20 14:08:43.434, 2, 0, 731, 46068, 42, 88.21, 2520, 9000
2026/05/20 14:08:44.482, 2, 0, 731, 46068, 42, 88.23, 2520, 9000
2026/05/20 14:08:45.527, 2, 0, 731, 46068, 42, 86.86, 2520, 9000
2026/05/20 14:08:46.560, 3, 0, 731, 46068, 42, 86.09, 2520, 9000
2026/05/20 14:08:47.592, 2, 0, 731, 46068, 42, 86.97, 2520, 9000
2026/05/20 14:08:48.612, 3, 0, 731, 46068, 42, 85.65, 2520, 9000
2026/05/20 14:08:49.645, 2, 0, 731, 46068, 42, 86.29, 2520, 9000
2026/05/20 14:08:50.675, 2, 0, 731, 46068, 42, 86.17, 2520, 9000
2026/05/20 14:08:51.706, 2, 0, 731, 46068, 42, 85.83, 2520, 9000
2026/05/20 14:08:52.728, 3, 0, 731, 46068, 42, 87.28, 2520, 9000
2026/05/20 14:08:53.770, 2, 0, 731, 46068, 42, 86.79, 2520, 9000
2026/05/20 14:08:54.837, 2, 0, 731, 46068, 42, 85.99, 2520, 9000
2026/05/20 14:08:55.877, 2, 0, 731, 46068, 42, 85.92, 2520, 9000
2026/05/20 14:08:56.927, 2, 0, 731, 46068, 42, 86.11, 2520, 9000
2026/05/20 14:08:57.967, 2, 0, 731, 46068, 42, 85.56, 2520, 9000
2026/05/20 14:08:59.008, 2, 0, 731, 46068, 42, 86.75, 2520, 9000
2026/05/20 14:09:00.045, 3, 0, 731, 46068, 42, 86.00, 2520, 9000
2026/05/20 14:09:01.099, 2, 0, 731, 46068, 42, 86.68, 2520, 9000
2026/05/20 14:09:02.131, 3, 0, 731, 46068, 42, 87.93, 2520, 9000
2026/05/20 14:09:03.159, 1, 0, 731, 46068, 42, 86.49, 2520, 9000
2026/05/20 14:09:04.188, 2, 0, 731, 46068, 42, 86.50, 2520, 9000
2026/05/20 14:09:05.221, 2, 0, 731, 46068, 42, 88.92, 2520, 9000
2026/05/20 14:09:06.243, 2, 0, 731, 46068, 42, 86.85, 2520, 9000
2026/05/20 14:09:07.273, 2, 0, 731, 46068, 42, 85.98, 2520, 9000
2026/05/20 14:09:08.294, 2, 0, 731, 46068, 42, 86.53, 2520, 9000
2026/05/20 14:09:09.323, 2, 0, 731, 46068, 42, 85.78, 2520, 9000
2026/05/20 14:09:10.359, 3, 0, 731, 46068, 42, 86.29, 2520, 9000
2026/05/20 14:09:11.427, 2, 0, 731, 46068, 42, 85.48, 2520, 9000
2026/05/20 14:09:12.474, 2, 0, 731, 46068, 42, 87.21, 2520, 9000
2026/05/20 14:09:13.518, 2, 0, 731, 46068, 42, 87.06, 2520, 9000
2026/05/20 14:09:14.540, 2, 0, 731, 46068, 42, 86.86, 2520, 9000
2026/05/20 14:09:15.586, 2, 0, 731, 46068, 42, 87.41, 2520, 9000
2026/05/20 14:09:16.624, 2, 0, 731, 46068, 42, 86.41, 2520, 9000
2026/05/20 14:09:17.655, 2, 0, 731, 46068, 43, 86.80, 2520, 9000
2026/05/20 14:09:18.686, 2, 0, 731, 46068, 43, 86.69, 2520, 9000
2026/05/20 14:09:19.707, 3, 0, 731, 46068, 43, 87.08, 2520, 9000
2026/05/20 14:09:20.739, 6, 0, 731, 46068, 43, 89.08, 2520, 9000
2026/05/20 14:09:21.777, 5, 0, 731, 46068, 43, 88.90, 2520, 9000
2026/05/20 14:09:22.809, 5, 0, 731, 46068, 43, 88.40, 2520, 9000
2026/05/20 14:09:24.002, 0, 0, 731, 46068, 43, 84.43, 2520, 9000
2026/05/20 14:09:25.101, 0, 0, 731, 46068, 42, 82.79, 2520, 9000
2026/05/20 14:09:26.195, 0, 0, 731, 46068, 42, 82.72, 2520, 9000
2026/05/20 14:09:27.840, 0, 0, 731, 46068, 42, 82.84, 2520, 9000
2026/05/20 14:09:29.132, 0, 0, 731, 46068, 43, 83.61, 2520, 9000
2026/05/20 14:09:30.162, 21, 0, 731, 46068, 44, 103.52, 2520, 9000
2026/05/20 14:09:31.191, 25, 0, 731, 46068, 45, 117.81, 2520, 9000
2026/05/20 14:09:32.221, 20, 0, 731, 46068, 44, 115.85, 2520, 9000
2026/05/20 14:09:33.245, 14, 0, 731, 46068, 44, 104.25, 2520, 9000
2026/05/20 14:09:34.262, 15, 0, 731, 46068, 44, 98.44, 2520, 9000
2026/05/20 14:09:35.280, 16, 0, 731, 46068, 44, 98.16, 2520, 9000
2026/05/20 14:09:36.308, 16, 0, 731, 46068, 44, 98.71, 2520, 9000
2026/05/20 14:09:37.341, 17, 0, 731, 46068, 44, 100.28, 2520, 9000
2026/05/20 14:09:38.376, 15, 0, 731, 46068, 44, 100.99, 2520, 9000
2026/05/20 14:09:39.406, 16, 0, 731, 46068, 44, 102.42, 2520, 9000
2026/05/20 14:09:40.444, 16, 0, 731, 46068, 44, 101.87, 2520, 9000
2026/05/20 14:09:41.473, 15, 0, 731, 46068, 44, 100.79, 2520, 9000
2026/05/20 14:09:42.503, 17, 0, 737, 46068, 45, 104.78, 2520, 9000
2026/05/20 14:09:43.523, 12, 0, 737, 46068, 44, 105.21, 2520, 9000
2026/05/20 14:09:44.563, 12, 0, 737, 46068, 44, 108.72, 2520, 9000
2026/05/20 14:09:45.596, 21, 0, 739, 46068, 45, 118.70, 2520, 9000
2026/05/20 14:09:46.623, 15, 0, 739, 46068, 45, 102.14, 2520, 9000
2026/05/20 14:09:47.652, 15, 0, 739, 46068, 45, 97.75, 2520, 9000
2026/05/20 14:09:48.681, 15, 0, 739, 46068, 45, 97.84, 2520, 9000
2026/05/20 14:09:49.708, 17, 0, 739, 46068, 45, 100.91, 2520, 9000
2026/05/20 14:09:50.737, 16, 0, 739, 46068, 45, 98.96, 2520, 9000
2026/05/20 14:09:51.767, 15, 0, 739, 46068, 45, 98.53, 2520, 9000
2026/05/20 14:09:52.794, 15, 0, 739, 46068, 45, 97.99, 2520, 9000
2026/05/20 14:11:14.479, 0, 0, 739, 46068, 44, 83.57, 2520, 9000
